"Casablanca",,"CA033","-7,6000","33,6000",,"N",,"MOROCCO",,,,"MA","MO","MAR","504"
"Casey",29,"CW46O","110,5000","-66,3000",,"Y",,"AUSTRALIA",,,,"AQ","AY","ATA","010"
"Changchun",,"CG443","125,3000","43,8000",,"N",,"CHINA",,,,"CN","CH","CHN","156"
"Chiclayo",,"CY90P","-79,8000","-6,8000",,"N",,"PERU",,,,"PE","PE","PER","604"
"Chilton",64,"RL052","-1,3000","51,6000",,"N",,"UK",,,,"GB","UK","GBR","826"
"Chimbote",,"CM90R","-78,6000","-9,1000",,"N",,"PERU","Panama",,,"PA","PM","PAN","591"
"Chita",,"CX452","113,5000","52,0000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Chongqing",,"09429","106,4000","29,5000",,"N",,"CHINA",,"CHUNGKING",,"CN","CH","CHN","156"
"Christchurch",39,"GH64L","172,8000","-43,6000",,"Y",,"NEW ZEALAND",,"GODLEY HEAD",,"NZ","NZ","NZL","554"
"Christmas Is",,"08701","-157,3000","1,9000",,"N",,,,,,"CX","KT","CXR","162"
"Chung-li",77,"CL424","121,2000","24,9000",,"N",,"TAIWAN",,"TAIPEI",,"TW","TW","TWN","158"
"Churchill",,"CH958","-94,2000","58,8000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Clyde River",,"CRJ70","-68,6000","70,5000",,"N",,"CANADA",,"BAFFIN ISLAND",,"CA","CA","CAN","124"
"Cocoa",,"10928","-80,6000","28,2000",,"N",,,,,,"US","US","USA","840"
"Cocos Is",,"CS31K","96,8000","-12,2000",,"N",,"AUSTRALIA",,,,"CC","CK","CCK","166"
"College",28,"CO764","-147,9948","64,9240",,"Y",,"USA",,,,"US","US","USA","840"
"Colombo",,"11306","79,9000","6,9000",,"N",,,,"SRI Lanka",,"LK","CE","LKA","144"
"Colorado Springs",,"CS839","-105,0000","39,0000",,"N",,"USA",,"AF ACADMEY",,"US","US","USA","840"
"Concepcion",,"CPJ3O","-73,0000","-36,6000",,"N",,"CHILE",,,,"CL","CI","CHL","152"
"Cuba",,"CD923","-82,0000","23,0000",,"N",,"MEXICO",,"HAVANA","CENTRO GEOFISICO","CU","CU","CUB","192"
"Curtin Raafb",,"CR41R","123,8000","-17,6000",,"N",,,,,,"AU","AS","AUS","036"
"Dairen",,"12439","121,6000","39,0000",,"N",,,,,,"CN","CH","CHN","156"
"Dakar",,"DKA14","-18,4000","14,8000",,"N",,"FRANCE",,,,"SN","SG","SEN","686"
"Darwin",33,"DW41K","130,9000","-12,4000",,"Y",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Davis",32,"DV36Q","77,9000","-68,6000",,"N",,"AUSTRALIA",,,,"AQ","AY","ATA","010"
"De Bilt",,"DT053","5,2000","52,1000",,"N",,"NETHERLANDS",,,,"NL","NL","NLD","528"
"Del'ebre",,"EB040","0,3000","40,8000",,"N",,"SPAIN",,"TORTOSA",,"ES","SP","ESP","724"
"Decepcion",,"DEJ6L","-60,7000","-63,0000",,"N",,,,,,"AQ","AY","ATA","010"
"Delhi",,"DH328","77,2000","28,6000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Derby",,"DY41O","123,6000","-17,3000",,"N",,,,,,"AU","AS","AUS","036"
"Dikson",30,"DI373","80,4000","73,5000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Djibouti",,"DJ111","42,8000","11,5000",,"N",,"FRANCE",,,,"DJ","DJ","DJI","262"
"Domont",,"13062","2,3000","49,0000",,"N",,"FRANCE",,"PARIS-DUMONT",,"FR","FR","FRA","250"
"Dourbes",,"DB048","4,6000","50,1000",,"N",,"BELGIUM",,,,"BE","BE","BEL ","056"
"Dushanbe",,"DU238","68,6000","38,6000",,"N",,"USSR",,,,"TJ","TI","TJK","762"
"Dyess AFB",31,"DS932","-99,8568","32,4185",,"Y",,"USA",,,,"US","US","USA","840"
"Eglin AFB",36,"EG931","-86,7000","30,4000",,"N",,"USA",,,,"US","US","USA","840"
"Eights",,"EI97N","-77,2000","-75,2000",,"N",,,,,,"AQ","AY","ATA","010"
"El Arenosillo",34,"EA036","-6,7000","37,1000",,"Y",,,,,,"ES","SP","ESP","724"
"Elizabethville",,"EZ11J","27,5000","-11,6000",,"N",,,,,,"CD","CG","COD","180"
"Elliott",,"EL41Q","133,5000","-17,6000",,"N",,,,,,"AU","AS","AUS","036"
"Ellsworth",,"ELA7P","-41,1000","-77,7000",,"N",,"USA",,,,"AQ","AY","ATA","010"
